id;Név;"Születési Dátum";Tel.:;E-mail;"Szig. Szám";"jogos. Száma";"jogos. Érv. Kezdete.";"jogos. Érv. Vége.";"felhasználó Jelszava"
1;"Biró Gabriella";1990-02-07;+36709524955;kis.kornel@example.net;LL955767;YM181995;2019-08-21;2029-08-21;9425
2;"Barta Zsolt";1964-10-30;+36202797487;kristof55@example.net;RZ891866;OU479096;2016-10-07;2026-10-07;1304
3;"Szücs Soma";2002-02-07;+36201196956;peter.barnabas@example.com;CN932743;FA518211;2021-12-17;2031-12-17;8031
4;"Balázs Antal";2005-07-22;+36702291331;jbogdan@example.com;PO825415;ET049819;2020-12-02;2030-12-02;9978
5;"Molnár Attila";1992-12-04;+36201317376;jfeher@example.org;OH195373;DR094078;2016-12-07;2026-12-07;7670
6;"Kelemen Linda";1983-05-22;+36205379880;deak.kornel@example.net;EO743692;JZ945657;2016-01-14;2026-01-14;6401
7;"Horváth Olivér";1996-09-15;+36203672447;balog.hunor@example.org;TI056813;ST466560;2023-03-16;2033-03-16;1971
8;"Veres László";1993-11-03;+36204333167;lakatos.lena@example.com;TS374748;KI504551;2023-04-15;2033-04-15;6675
9;"Balogh Sándor";1977-08-27;+36302813054;szonja95@example.org;BI907227;WZ616056;2023-01-03;2033-01-03;9976
10;"Király Henrietta";1962-09-02;+36205418925;boroka.balog@example.org;FH698969;WP155229;2021-07-12;2031-07-12;8689
11;"Soós Attila";1966-03-29;+36205294126;vincze.liza@example.net;AC758135;KU798253;2015-06-16;2025-06-16;2909
12;"Mészáros Benedek";1978-01-18;+36308886777;nmagyar@example.org;ED308984;RQ556897;2019-05-25;2029-05-25;8637
13;"Varga Kristóf";1999-12-14;+36200824467;kevin06@example.net;EQ425377;SX941449;2023-03-04;2033-03-04;4984
14;"Kis Alexa";1968-12-10;+36301306717;efarago@example.net;OA049649;YR389850;2018-11-30;2028-11-30;2456
15;"Máté Mia";1973-05-15;+36706944665;ohajdu@example.net;WD610608;TG930107;2017-03-24;2027-03-24;1487
16;"Kelemen Gabriella";2005-09-01;+36204798000;boroka91@example.org;NL706653;YT556938;2015-04-21;2025-04-21;8273
17;"Illés Klaudia";1965-11-19;+36205049228;mirella.pinter@example.com;SA125568;MH561588;2015-03-25;2025-03-25;4954
18;"Fekete Szervác";1993-09-13;+36204506438;bognar.vince@example.org;GW650018;ER677365;2024-02-02;2034-02-02;8299
19;"Biró Soma";2006-08-02;+36205988449;szalai.otto@example.org;VC226858;ER137656;2015-04-25;2025-04-25;4748
20;"Somogyi Mihály";1995-09-27;+36208063448;gizella.peter@example.net;FW134912;KO034647;2015-09-22;2025-09-22;9123
