ID;V_nev;K_nev;Szul_datum;Tel:;E-mail;Szig_szam;Jogos_szam;Jogos_erv_kezdete;jogos_erv_vege.;Felh_jelszo
1;Kis;Mária;1969-04-13;+36304337616;julianna88@example.net;TV722256;MV419638;2016-12-04;2026-12-04;5882
2;Lengyel;Marietta;1986-10-12;+36304628625;avoros@example.org;XM305088;MF590405;2016-03-29;2026-03-29;6868
3;Szalai;Liliána;2005-10-11;+36208319881;erno56@example.net;WY930709;FP552788;2023-02-25;2033-02-25;7661
4;Máté;Angéla;1988-03-30;+36702004986;livia.szekely@example.com;GU389562;GD179040;2024-04-10;2034-04-10;8370
5;Sipos;Sára;1998-06-14;+36708985283;noel.szekely@example.net;HS377054;ZF554899;2015-01-25;2025-01-25;9145
6;Tamás;Mihály;1962-11-19;+36706276042;horvath.vilmos@example.com;MP091885;RG218624;2019-12-24;2029-12-24;3612
7;Boros;Gabriella;1981-08-30;+36209364401;kis.mira@example.net;NZ209565;ZI203386;2023-10-28;2033-10-28;3770
8;Novák;Jázmin;1993-02-23;+36208541898;ubalint@example.org;QX109546;UW614259;2015-11-20;2025-11-20;8231
9;Dudás;Dorián;2004-10-08;+36707209421;horvath.henriett@example.org;RT870020;JI788978;2019-03-11;2029-03-11;4571
10;Boros;Marietta;1970-02-07;+36201870874;kozma.maria@example.com;LQ524876;RC667308;2020-07-13;2030-07-13;3130
11;Csonka;Albert;1992-07-11;+36304571085;kelemen.balazs@example.org;PA752094;PQ882399;2017-12-21;2027-12-21;6206
12;Juhász;Mária;1995-02-14;+36708170188;fulop.mihaly@example.net;EQ247501;KQ858245;2023-06-25;2033-06-25;7270
13;Lakatos;Gitta;1973-12-01;+36708802476;geza86@example.com;MO536577;DA351364;2018-08-12;2028-08-12;8035
14;Szilágyi;Emőke;1981-05-07;+36306975704;oliver51@example.com;NT357900;MR357452;2024-07-21;2034-07-21;8207
15;Lakatos;Klaudia;1962-08-19;+36301538243;sandor68@example.com;PK949942;HU416221;2015-06-17;2025-06-17;5078
16;Fábián;Rudolf;1967-09-09;+36303158950;katalin32@example.net;AJ698642;IW441186;2019-12-18;2029-12-18;5385
17;Fodor;Maja;1967-06-24;+36206311955;fszekely@example.org;QC094035;AY552316;2022-12-27;2032-12-27;7987
18;Balázs;Mihály;1972-07-20;+36302785558;klaudia08@example.org;PK444594;DP480763;2019-06-21;2029-06-21;3720
19;Kovács;Erzsébet;2001-10-18;+36203023717;barta.maja@example.net;PS096649;XD219238;2017-12-16;2027-12-16;1289
20;Barna;Barnabás;1963-10-21;+36208528081;eszabo@example.org;YJ110046;AZ532569;2022-09-04;2032-09-04;7053
21;Pintér;Dorottya;2001-09-12;+36202888450;hunor.fazekas@example.org;ZW744851;NO673230;2021-06-01;2031-06-01;8233
22;Somogyi;Szervác;1970-09-12;+36208356563;balazs28@example.net;WG327924;ED774477;2018-02-14;2028-02-14;8966
23;Varga;Georgina;1965-08-20;+36209045405;kfarago@example.com;XJ831598;NZ178737;2020-10-04;2030-10-04;3578
24;Gál;Jenő;1969-05-24;+36308149833;laszlo.otto@example.net;XM698440;SL687947;2016-07-25;2026-07-25;2951
25;Orbán;Milán;1974-08-07;+36700828720;somogyi.adel@example.com;PE965855;VS548897;2016-02-04;2026-02-04;5876
26;Borbély;Linda;2005-12-19;+36704049629;oorban@example.net;GT961741;UO682747;2024-02-25;2034-02-25;7551
27;Fábián;Endre;2005-11-01;+36201170362;panna96@example.com;FH427598;EW383488;2020-09-30;2030-09-30;2309
28;Simon;Léna;1985-12-25;+36701402669;pataki.kristof@example.net;IU433089;DX014345;2023-12-21;2033-12-21;2719
29;Horváth;Angéla;1960-10-25;+36201258691;voros.adam@example.org;IW036469;QP346273;2016-05-15;2026-05-15;9776
