1, XY456780, AB123456, 2020-01-01, 2030-01-01, Kiss, Janos, janoskiss, 1234567890, 1985-06-15, +36301234567, kiss.janos@gmail.com
2, YZ567890, BC234567, 2019-03-15, 2029-03-15, Nagy, Peter, peternagy, 2345678901, 1990-08-20, 06203456789, nagy.peter@gmail.com
3, ZA678901, CD345678, 2021-05-20, 2031-05-20, Toth, Eva, evatoth, 3456789012, 1982-12-05, 0036703456789, toth.eva@gmail.com
4, AB789012, DE456789, 2022-07-25, 2032-07-25, Szabo, Istvan, istvanszabo, 4567890123, 1978-02-10, +36302034567, szabo.istvan@gmail.com
5, BC890123, EF567890, 2018-11-30, 2028-11-30, Horvath, Zsuzsa, zsuzsahorvath, 5678901234, 1995-09-25, 06203012345, horvath.zsuzsa@gmail.com
6, CD901234, FG678901, 2020-04-10, 2030-04-10, Kovacs, Tamas, tamaskovacs, 6789012345, 1980-07-14, 0036201234567, kovacs.tamas@gmail.com
7, DE012345, GH789012, 2019-08-18, 2029-08-18, Balogh, Aniko, anikobalogh, 7890123456, 1988-01-01, 0036701234567, balogh.aniko@gmail.com
8, EF123456, HI890123, 2021-12-05, 2031-12-05, Molnar, Laszlo, laszlomolnar, 8901234567, 1975-05-22, +36301234567, molnar.laszlo@gmail.com
9, FG234567, IJ901234, 2018-09-10, 2028-09-10, Farkas, Katalin, katalinfarkas, 9012345678, 1993-11-11, 0620701234567, farkas.katalin@gmail.com
10, GH345678, JK012345, 2020-10-20, 2030-10-20, Nemes, Bela, belanemes, 0123456789, 1983-03-03, 0036702345678, nemes.bela@gmail.com
11, HI456789, KL123456, 2019-06-30, 2029-06-30, Varga, Emese, emesevarga, 1234567891, 1987-04-16, 0620302345678, varga.emese@gmail.com
12, IJ567890, LM234567, 2021-04-15, 2031-04-15, Lukacs, Janos, janoslukacs, 2345678902, 1991-09-09, 0036203456789, lukacs.janos@gmail.com
13, JK678901, MN345678, 2018-11-05, 2028-11-05, Biro, Peter, peterbiro, 3456789013, 1979-07-23, 0620304567890, biro.peter@gmail.com
