ID;V_nev;K_nev;Szul_datum;Tel;E-mail;Szig_szam;Jogos_szam;Jogos_erv_kezdete;jogos_erv_vege;Felh_jelszo
1;Horváth;Liza;1964-02-06;+36301104007;szucs.imre@example.com;TC499962;ZX843643;2015-08-27;2025-08-27;6714
2;Biró;Rudolf;1985-03-11;+36204631105;nemeth.sandor@example.org;QU872232;JL494771;2022-05-21;2032-05-21;6842
3;Jónás;Gréta;1964-02-28;+36702029857;budai.matyas@example.net;WN202046;OB914371;2020-11-15;2030-11-15;4193
4;Budai;Judit;1990-08-22;+36704802494;vorsos@example.net;SY494254;GP132549;2016-05-15;2026-05-15;2559
5;Veres;Patrik;1981-10-26;+36705030741;judit78@example.org;VZ157053;OS937570;2020-08-12;2030-08-12;4527
6;Kis;Kevin;1988-10-07;+36207731671;szandra.orban@example.org;AR491423;CH775707;2023-08-09;2033-08-09;9880
7;Nemes;Henriett;1966-08-24;+36708379140;wveres@example.com;EF312867;YC780904;2022-05-15;2032-05-15;7286
8;Lakatos;Ádám;1998-05-07;+36203535780;dudas.nikoletta@example.org;RO796236;WR923297;2024-03-13;2034-03-13;2878
9;Barta;Milán;1970-09-07;+36301515688;budai.kristof@example.net;MY633172;HB903794;2015-03-24;2025-03-24;7212
10;Szabó;Imre;1971-12-11;+36703736013;klaudia10@example.net;DN943047;KO610267;2019-12-19;2029-12-19;5684
11;Borbély;Henrietta;1974-11-22;+36204160182;onemes@example.org;EU131161;LD853433;2019-09-25;2029-09-25;2020
12;Kelemen;Henriett;2003-01-27;+36705023128;erno.kiraly@example.org;FJ015407;MW864678;2020-07-20;2030-07-20;3108
13;Deák;Bettina;1979-08-31;+36200041699;erzsebet.borbely@example.net;XP495739;BE826984;2023-05-28;2033-05-28;6313
14;Szücs;Sándor;1965-07-27;+36304392217;antal.novak@example.com;XZ685886;EZ703006;2022-10-01;2032-10-01;1456
15;Illés;Géza;1997-01-31;+36201630533;szucs.mira@example.net;QV095235;PM418531;2015-07-25;2025-07-25;4451
16;Balogh;Zsóka;1990-07-04;+36708000587;evelin37@example.net;ZL030432;YN889646;2024-09-28;2034-09-28;6374
17;Deák;Imre;1991-07-12;+36309993172;barta.jazmin@example.com;NG238418;BW176088;2022-08-03;2032-08-03;2636
18;Biró;Klaudia;1975-12-03;+36304834583;unemeth@example.com;KG084835;NQ097343;2016-06-02;2026-06-02;2050
19;Székely;Barnabás;1988-11-01;+36301417763;gaspar.endre@example.org;PS193753;ZH027010;2022-01-11;2032-01-11;9960
20;Lukács;Alexa;1961-09-23;+36203384179;zveres@example.net;EL165310;KO919436;2018-05-17;2028-05-17;6970
21;Lakatos;Boglárka;1988-07-18;+36308533656;szabina.fodor@example.net;GI804114;DK354634;2014-12-21;2024-12-21;5642
22;Balog;Gabriella;2002-10-06;+36707614433;kevin.kerekes@example.com;AD412975;WG016070;2023-03-12;2033-03-12;1887
23;Péter;Kristóf;2002-12-29;+36307458648;ibognar@example.net;TY636275;ST202017;2016-03-16;2026-03-16;6639
24;Kozma;Gréta;1988-11-22;+36201422428;uorban@example.net;ZG232848;JQ099604;2024-10-01;2034-10-01;8727
25;Boros;Zoltán;1975-09-05;+36207299188;pap.csenge@example.org;TG484858;EP262260;2014-10-27;2024-10-27;3759
26;Bogdán;Patrik;1997-06-11;+36301328789;barna86@example.com;ES655950;OC702642;2019-04-27;2029-04-27;9859
27;Kozma;Henrietta;1990-11-14;+36707252283;iballa@example.org;EY557373;UM817770;2018-11-08;2028-11-08;5587
28;Orsós;Liliána;1977-09-12;+36709863914;zeteny93@example.net;YD517103;ZN544682;2016-01-22;2026-01-22;7213
29;Orbán;Ottó;1983-02-02;+36306909074;hnemes@example.org;RQ027472;AK630525;2016-06-06;2026-06-06;7994
30;Dobos;Rudolf;1966-12-04;+36300784076;bhorvath@example.org;NC330647;TS155738;2020-02-29;2030-03-01;2139
31;Bognár;Marietta;1978-09-20;+36307531036;nfarkas@example.org;OL146572;TA470048;2021-07-20;2031-07-20;9782
32;Vincze;Erzsébet;1963-06-12;+36704444177;yhalasz@example.net;XD502052;RA362077;2023-01-08;2033-01-08;5918
33;Gál;Ottó;1967-06-24;+36301054213;nagy.valeria@example.com;ZL804326;VF749510;2017-01-06;2027-01-06;4398
34;Juhász;Míra;2001-09-15;+36201698824;igaspar@example.net;PX235414;GU440899;2024-05-25;2034-05-25;4664
35;Oláh;Kevin;1964-03-01;+36201266504;mbalint@example.com;YL313962;YU326996;2015-10-15;2025-10-15;4431
36;Katona;Martina;1987-09-19;+36700139309;sfarkas@example.net;MW784080;UG409345;2023-09-11;2033-09-11;6834
37;Fekete;Áron;1985-11-28;+36706889057;jeno.szabo@example.net;TT238115;QB398912;2019-12-04;2029-12-04;6924
38;Molnár;Áron;2004-10-03;+36200012111;tamas.livia@example.org;CS191036;KA975847;2022-12-10;2032-12-10;7809
39;Farkas;Andrea;1969-07-16;+36206001875;dalma22@example.com;QP909978;ZQ547999;2023-08-07;2033-08-07;2414
40;Simon;István;1990-12-22;+36305101476;wkocsis@example.org;DJ020812;QB452146;2016-03-31;2026-03-31;9814
41;Vass;Szandra;1997-12-22;+36308062249;albert.bakos@example.com;NL891357;CJ134907;2016-12-03;2026-12-03;7962
42;Orosz;Izabella;2005-03-01;+36201289780;bakos.flora@example.net;KU569637;JS412286;2022-11-06;2032-11-06;8440
43;Németh;Katinka;1972-04-26;+36303284260;hunor.szucs@example.com;TV077170;NB090389;2017-10-03;2027-10-03;9662
44;Bakos;Lívia;1973-12-19;+36202455354;balint.adel@example.com;SE817717;CM993370;2014-11-24;2024-11-24;1498
45;Budai;Gréta;1983-12-26;+36306795100;mirella32@example.net;MZ210327;UL482573;2015-11-10;2025-11-10;6319
46;Gáspár;Milán;1972-02-18;+36201543061;racz.marton@example.org;TM011482;VT506245;2024-02-16;2034-02-16;8158
